id,time,total_blinks,ear
216,2021-12-15 22:46:27.623528,128,0.3
217,2021-12-15 22:46:28.833133,128,0.34
218,2021-12-15 22:46:30.082721,128,0.34
219,2021-12-15 22:46:31.175789,128,0.32
220,2021-12-15 22:46:32.117026,128,0.34
221,2021-12-15 22:46:33.116664,128,0.12
222,2021-12-15 22:46:34.126332,130,0.29
223,2021-12-15 22:46:35.066023,132,0.28
224,2021-12-15 22:46:36.005716,133,0.35
225,2021-12-15 22:46:36.955403,133,0.36
226,2021-12-15 22:46:37.915087,133,0.24
227,2021-12-15 22:46:38.964755,133,0.27
228,2021-12-15 22:46:39.934427,135,0.29
229,2021-12-15 22:46:40.911242,136,0.28
230,2021-12-15 22:46:41.870918,138,0.27
231,2021-12-15 22:46:42.930567,139,0.28
232,2021-12-15 22:46:43.970243,141,0.29
233,2021-12-15 22:46:44.929910,143,0.34
234,2021-12-15 22:46:45.989575,143,0.27
235,2021-12-15 22:46:47.059231,145,0.33
236,2021-12-15 22:46:48.158851,146,0.31
237,2021-12-15 22:46:49.318467,147,0.4
238,2021-12-15 22:46:50.318142,148,0.3
239,2021-12-15 22:46:51.307814,149,0.38
240,2021-12-15 22:46:52.397456,149,0.38
241,2021-12-15 22:46:53.527088,149,0.27
242,2021-12-15 22:46:54.506767,150,0.36
243,2021-12-15 22:46:55.508905,150,0.14
244,2021-12-15 22:46:57.059852,152,0.27
245,2021-12-15 22:46:58.457451,153,0.19
246,2021-12-15 22:46:59.470169,155,0.26
247,2021-12-15 22:47:00.400271,156,0.29
248,2021-12-15 22:47:01.481293,157,0.28
249,2021-12-15 22:47:02.404557,160,0.26
250,2021-12-15 22:47:03.324709,160,0.27
251,2021-12-15 22:47:04.224898,161,0.31
252,2021-12-15 22:47:05.135128,162,0.3
253,2021-12-15 22:47:06.035471,163,0.26
254,2021-12-15 22:47:07.004723,163,0.22
255,2021-12-15 22:47:07.961049,163,0.22
256,2021-12-15 22:47:08.952481,165,0.3
257,2021-12-15 22:47:09.922482,168,0.31
258,2021-12-15 22:47:10.888650,170,0.31
259,2021-12-15 22:47:11.886596,171,0.31
260,2021-12-15 22:47:12.876682,172,0.31
261,2021-12-15 22:47:13.832314,173,0.32
262,2021-12-15 22:47:14.814588,173,0.16
263,2021-12-15 22:47:15.765212,175,0.31
264,2021-12-15 22:47:16.780535,176,0.32
265,2021-12-15 22:47:17.758569,176,0.26
266,2021-12-15 22:47:18.716463,178,0.21
267,2021-12-15 22:47:19.694489,178,0.2
268,2021-12-15 22:47:20.664660,178,0.2
269,2021-12-15 22:47:21.665828,178,0.2
270,2021-12-15 22:47:22.652530,178,0.2
271,2021-12-15 22:47:23.644432,178,0.2
272,2021-12-15 22:47:24.620602,178,0.17
273,2021-12-15 22:47:25.602599,178,0.18
274,2021-12-15 22:47:26.558785,178,0.27
275,2021-12-15 22:47:27.536525,180,0.33
276,2021-12-15 22:47:28.504776,180,0.27
277,2021-12-15 22:47:29.480583,180,0.24
278,2021-12-15 22:47:30.462711,181,0.16
279,2021-12-15 22:47:31.438992,182,0.27
280,2021-12-15 22:47:32.440933,182,0.26
281,2021-12-15 22:47:33.438437,182,0.26
282,2021-12-15 22:47:34.424454,182,0.28
283,2021-12-15 22:47:35.406700,182,0.24
284,2021-12-15 22:47:36.366319,183,0.31
285,2021-12-15 22:47:37.384581,183,0.26
286,2021-12-15 22:47:38.342754,183,0.25
287,2021-12-15 22:47:39.299088,183,0.22
288,2021-12-15 22:47:40.296629,183,0.23
289,2021-12-15 22:47:41.288685,185,0.2
290,2021-12-15 22:47:42.266391,185,0.23
291,2021-12-15 22:47:43.224671,185,0.25
292,2021-12-15 22:47:44.184652,185,0.25
293,2021-12-15 22:47:45.160643,185,0.25
294,2021-12-15 22:47:46.142634,185,0.2
295,2021-12-15 22:47:47.096690,185,0.2
296,2021-12-15 22:47:48.056705,185,0.25
297,2021-12-15 22:47:49.056701,185,0.23
298,2021-12-15 22:47:50.024638,185,0.21
299,2021-12-15 22:47:51.000925,185,0.21
300,2021-12-15 22:47:51.982864,185,0.22
301,2021-12-15 22:47:52.958707,185,0.18
302,2021-12-15 22:47:53.936510,186,0.28
303,2021-12-15 22:47:54.904718,186,0.25
304,2021-12-15 22:47:55.865027,186,0.21
305,2021-12-15 22:47:56.840847,186,0.26
306,2021-12-15 22:47:57.832810,186,0.23
307,2021-12-15 22:47:58.830833,186,0.23
308,2021-12-15 22:47:59.862746,186,0.24
309,2021-12-15 22:48:00.840813,186,0.23
310,2021-12-15 22:48:01.830866,186,0.23
311,2021-12-15 22:48:02.841077,186,0.26
312,2021-12-15 22:48:03.816756,186,0.18
313,2021-12-15 22:48:04.777276,186,0.25
314,2021-12-15 22:48:05.752745,186,0.22
315,2021-12-15 22:48:06.732745,186,0.21
316,2021-12-15 22:48:07.702743,186,0.21
317,2021-12-15 22:48:08.680831,186,0.2
318,2021-12-15 22:48:09.670811,186,0.21
319,2021-12-15 22:48:10.638864,186,0.26
320,2021-12-15 22:48:11.624716,189,0.21
321,2021-12-15 22:48:12.606858,190,0.26
322,2021-12-15 22:48:13.574824,191,0.23
323,2021-12-15 22:48:14.543026,191,0.22
324,2021-12-15 22:48:15.512692,191,0.2
325,2021-12-15 22:48:16.478660,191,0.25
326,2021-12-15 22:48:17.438830,191,0.23
327,2021-12-15 22:48:18.416688,191,0.16
328,2021-12-15 22:48:19.384782,192,0.33
329,2021-12-15 22:48:20.350754,192,0.35
330,2021-12-15 22:48:21.310790,192,0.33
331,2021-12-15 22:48:22.263085,192,0.33
332,2021-12-15 22:48:23.256808,192,0.38
333,2021-12-15 22:48:24.201282,194,0.29
334,2021-12-15 22:48:25.183097,195,0.28
335,2021-12-15 22:48:26.137014,196,0.18
336,2021-12-15 22:48:27.128912,196,0.15
337,2021-12-15 22:48:28.105088,196,0.16
338,2021-12-15 22:48:29.092866,196,0.15
339,2021-12-15 22:48:30.050695,196,0.15
340,2021-12-15 22:48:31.055247,196,0.24
341,2021-12-15 22:48:32.066813,197,0.32
342,2021-12-15 22:48:33.403564,199,0.24
343,2021-12-15 22:48:34.399271,199,0.26
344,2021-12-15 22:48:35.358886,199,0.24
345,2021-12-15 22:48:36.332747,199,0.2
346,2021-12-15 22:48:37.308011,199,0.11
347,2021-12-15 22:48:38.268509,199,0.13
348,2021-12-15 22:48:39.230982,199,0.21
349,2021-12-15 22:48:40.239080,199,0.18
350,2021-12-15 22:48:41.208976,199,0.23
351,2021-12-15 22:48:42.216991,200,0.38
352,2021-12-15 22:48:44.553238,200,0.34
353,2021-12-15 22:48:45.545013,200,0.24
354,2021-12-15 22:48:46.521146,201,0.27
355,2021-12-15 22:48:47.513564,202,0.27
356,2021-12-15 22:48:48.498833,202,0.22
357,2021-12-15 22:48:49.480980,202,0.22
358,2021-12-15 22:48:51.112939,204,0.3
359,2021-12-15 22:48:52.111008,204,0.25
360,2021-12-15 22:48:53.070953,205,0.29
361,2021-12-15 22:48:56.185181,205,0.19
362,2021-12-15 22:48:57.182973,205,0.28
363,2021-12-15 22:48:58.215098,205,0.25
364,2021-12-15 22:48:59.247150,206,0.31
365,2021-12-15 22:49:00.255029,207,0.25
366,2021-12-15 22:49:01.225100,208,0.24
367,2021-12-15 22:49:02.201742,211,0.3
368,2021-12-15 22:49:03.174993,212,0.25
369,2021-12-15 22:49:04.169113,213,0.29
370,2021-12-15 22:49:05.152564,213,0.25
371,2021-12-15 22:49:06.137296,214,0.12
372,2021-12-15 22:49:07.103477,214,0.13
373,2021-12-15 22:49:08.073041,214,0.24
374,2021-12-15 22:49:09.035574,214,0.2
375,2021-12-15 22:49:10.009237,214,0.18
376,2021-12-15 22:49:11.003419,214,0.13
377,2021-12-15 22:49:12.009721,214,0.14
378,2021-12-15 22:49:13.022966,214,0.25
379,2021-12-15 22:49:13.999314,214,0.3
380,2021-12-15 22:49:14.969111,216,0.27
381,2021-12-15 22:49:17.631222,217,0.23
382,2021-12-15 22:49:18.607541,217,0.15
383,2021-12-15 22:49:19.599367,217,0.21
384,2021-12-15 22:49:20.575696,218,0.31
385,2021-12-15 22:49:21.535151,218,0.26
386,2021-12-15 22:49:22.493119,218,0.2
387,2021-12-15 22:49:23.471674,218,0.2
388,2021-12-15 22:49:24.479098,218,0.15
389,2021-12-15 22:49:25.448842,218,0.23
390,2021-12-15 22:49:26.407525,218,0.23
391,2021-12-15 22:49:33.039157,219,0.37
392,2021-12-15 22:49:34.015248,220,0.22
393,2021-12-15 22:49:34.985277,220,0.17
394,2021-12-15 22:49:38.941212,221,0.36
395,2021-12-15 22:49:39.897342,221,0.28
396,2021-12-15 22:49:40.877235,221,0.22
397,2021-12-15 22:49:41.865350,224,0.28
398,2021-12-15 22:49:42.825275,225,0.25
399,2021-12-15 22:49:47.179216,227,0.18
400,2021-12-15 22:49:48.169214,227,0.22
401,2021-12-15 22:49:53.243153,227,0.16
402,2021-12-15 22:49:54.217292,229,0.37
403,2021-12-15 22:49:55.200188,229,0.23
404,2021-12-15 22:49:56.281419,229,0.18
405,2021-12-15 22:49:57.587231,229,0.18
406,2021-12-15 22:49:58.617517,229,0.25
407,2021-12-15 22:49:59.839336,230,0.24
408,2021-12-15 22:50:04.447252,233,0.3
409,2021-12-15 22:50:06.111450,233,0.37
410,2021-12-15 22:50:07.105330,233,0.29
411,2021-12-15 22:50:18.537354,234,0.3
412,2021-12-15 22:50:19.519360,234,0.26
413,2021-12-15 22:50:20.499411,234,0.25
414,2021-12-15 22:50:21.487293,234,0.15
415,2021-12-15 22:50:22.959994,235,0.17
416,2021-12-15 22:50:24.063596,235,0.25
417,2021-12-15 22:50:25.097430,237,0.29
418,2021-12-15 22:50:26.255342,238,0.23
419,2021-12-15 22:50:27.209474,238,0.17
420,2021-12-15 22:50:28.527697,240,0.32
421,2021-12-15 22:50:30.221543,242,0.31
422,2021-12-15 22:50:31.535911,242,0.33
423,2021-12-15 22:50:32.547504,243,0.33
424,2021-12-15 22:50:33.537307,245,0.31
425,2021-12-15 22:50:34.505639,246,0.21
426,2021-12-15 22:50:35.471643,247,0.18
