,time,x,y
155,2021-12-20 00:55:06.679027,2.0,2.0
156,2021-12-20 00:55:06.861979,2.0,2.0
157,2021-12-20 00:55:07.058464,2.0,2.0
158,2021-12-20 00:55:07.232469,2.0,2.0
159,2021-12-20 00:55:07.403201,2.0,2.0
160,2021-12-20 00:55:07.578648,2.0,2.0
161,2021-12-20 00:55:07.748222,2.0,2.0
162,2021-12-20 00:55:07.918672,2.0,2.0
163,2021-12-20 00:55:08.066762,2.0,2.0
164,2021-12-20 00:55:08.232659,2.0,2.0
165,2021-12-20 00:55:08.402824,1.0,0.0
166,2021-12-20 00:55:08.545825,2.0,2.0
167,2021-12-20 00:55:08.712149,2.0,2.0
168,2021-12-20 00:55:08.889315,2.0,2.0
169,2021-12-20 00:55:09.058398,1.0,0.0
170,2021-12-20 00:55:09.231200,1.0,1.0
171,2021-12-20 00:55:09.409473,1.0,1.0
172,2021-12-20 00:55:09.577664,1.0,0.0
173,2021-12-20 00:55:09.750865,1.0,1.0
174,2021-12-20 00:55:09.919192,1.0,1.0
175,2021-12-20 00:55:10.092408,1.0,1.0
176,2021-12-20 00:55:10.272318,1.0,1.0
177,2021-12-20 00:55:10.438212,1.0,1.0
178,2021-12-20 00:55:10.577378,1.0,1.0
179,2021-12-20 00:55:10.745292,2.0,2.0
180,2021-12-20 00:55:10.917760,2.0,2.0
181,2021-12-20 00:55:11.092511,1.0,1.0
182,2021-12-20 00:55:11.270256,1.0,0.0
183,2021-12-20 00:55:11.437513,1.0,1.0
184,2021-12-20 00:55:11.609093,2.0,2.0
185,2021-12-20 00:55:11.780995,2.0,2.0
186,2021-12-20 00:55:11.951070,2.0,2.0
187,2021-12-20 00:55:12.122628,2.0,2.0
188,2021-12-20 00:55:12.277606,2.0,2.0
189,2021-12-20 00:55:12.445494,2.0,2.0
190,2021-12-20 00:55:12.589489,1.0,2.0
191,2021-12-20 00:55:12.750210,2.0,2.0
192,2021-12-20 00:55:12.889298,2.0,2.0
193,2021-12-20 00:55:13.056950,2.0,2.0
194,2021-12-20 00:55:13.231134,1.0,1.0
195,2021-12-20 00:55:13.400901,2.0,2.0
196,2021-12-20 00:55:13.570721,1.0,1.0
197,2021-12-20 00:55:13.710727,1.0,1.0
198,2021-12-20 00:55:13.882667,2.0,2.0
199,2021-12-20 00:55:14.055821,1.0,1.0
200,2021-12-20 00:55:14.226767,1.0,0.0
201,2021-12-20 00:55:14.370589,1.0,0.0
202,2021-12-20 00:55:14.537458,1.0,0.0
203,2021-12-20 00:55:14.709176,1.0,0.0
204,2021-12-20 00:55:14.851820,1.0,0.0
205,2021-12-20 00:55:15.029384,1.0,1.0
206,2021-12-20 00:55:15.191005,1.0,1.0
207,2021-12-20 00:55:15.364139,0.0,1.0
208,2021-12-20 00:55:15.508438,1.0,1.0
209,2021-12-20 00:55:15.675027,0.0,0.0
210,2021-12-20 00:55:15.847069,1.0,2.0
